reference,name,document type,document-url,documentation-url,organisation,adopted-date,notes,entry-date,start-date,end-date
BST/1,"Community Infrastructure Levy Charging Schedule 
",CIL,https://www.bristol.gov.uk/files/documents/42-cil-charging-schedule,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-applications/community-infrastructure-levy-cil-and-planning-obligations/development-liable-for-community-infrastructure-levy-cil,local-authority: BST,18/09/2012,,,01/01/2013,
BRO/1,Broadland CIL charges,CIL,https://www.southnorfolkandbroadland.gov.uk/planning/community-infrastructure-levy/cil-charges-broadland,https://www.southnorfolkandbroadland.gov.uk/planning/community-infrastructure-levy,local-authority: BRO,09/05/2013,,,01/07/2013,
BRM/1,Bromsgrove District Authority Monitoring Report,CIL,https://www.bromsgrove.gov.uk/media/wavnydb2/authority-monitoring-report-2021-2022.pdf,https://www.bromsgrove.gov.uk/residents/planning-building-control/planning-legislative-changes-and-guidance/legal-obligation-monitoring-fee/,local-authority: BRM,06/04/2010,,,22/01/2020,
BRX/1,,CIL,https://www.broxbourne.gov.uk/downloads/file/4071/ifs-2022-2023-final,https://www.broxbourne.gov.uk/downloads/file/870/pp-lsh-cil-report,local-authority: BRX,,,,,
BRT/1,,CIL,https://democracy.broxtowe.gov.uk/ieDecisionDetails.aspx?Id=1895,https://democracy.broxtowe.gov.uk/mgIssueHistoryHome.aspx?IId=17685&Opt=0,local-authority: BRT,,In Discussion,,,
BUC/1,2024 CIL fees,CIL,https://www.buckinghamshire.gov.uk/planning-and-building-control/planning-policy/planning-obligations-and-community-infrastructure-levy-cil/community-infrastructure-levy/how-cil-is-calculated/,https://www.buckinghamshire.gov.uk/planning-and-building-control/planning-policy/planning-obligations-and-community-infrastructure-levy-cil/community-infrastructure-levy/,local-authority: BUC,2022,,,01/01/2024,
CAB/1,Charging schedule,CIL,https://www.eastcambs.gov.uk/sites/default/files/Charging%20schedule%20Jan%202024_1.pdf,https://www.eastcambs.gov.uk/planning/calculating-and-paying-cil,local-authority: CAB,10/12/2012,,,01/01/2024,
CAM/1,,CIL,https://www.cambridgeshire.gov.uk/business/planning-and-development/developing-new-communities/infrastructure-funding-statement,,local-authority: CAM,,,,,
CAN/1,Charging Schedule,CIL,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/cil_charging_schedule_01.06.15_v2.pdf,"https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/community-infrastructure-levy-developer#:~:text=In%20Cannock%20Chase%20District%2C%20CIL,(see%20further%20information%20below).",local-authority: CAN,01/04/2015,,,01/06/2015,
CAT/1,Charging Schedule,CIL,https://www.canterbury.gov.uk/sites/default/files/2022-10/Community%20Infrastructure%20Levy%20charging%20schedule.pdf,https://www.canterbury.gov.uk/planning-and-building/planning-obligations/community-infrastructure-levy,local-authority: CAT,13/02/2020,,,01/04/2020,
CAS/1,CIL Charging Schedule,CIL,https://www.castlepoint.gov.uk/cil-charging-schedule,https://www.castlepoint.gov.uk/cil/,local-authority: CAS,01/05/2023,,,01/01/2024,
CBF/1,,CIL,https://www.centralbedfordshire.gov.uk/info/44/planning/458/planning_obligations,,local-authority: CBF,,We currently have no plans to introduce a Community Infrastructure Levy,,,
CHA/1,,CIL,https://www.charnwood.gov.uk/files/documents/sd_16_local_development_scheme_2021/SD-16%20Local%20Development%20Scheme%202021.pdf,,local-authority: CHA,,"The Council will consider whether CIL is necessary to deliver the proposals set out in the new Local Plan, but substantive work is not programmed within the three-year programme set out in this Local Development Scheme.",,,
CHL/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.chelmsford.gov.uk/media/v50j3jum/cil-charging-schedule.pdf?alId=25280,https://www.chelmsford.gov.uk/planning-and-building-control/community-infrastructure-levy/,local-authority: CHL,26/02/2014,,,01/06/2014,
CHT/1,Cheltenham Borough Council’s ‘Annual CIL Rate Summary Statement’,CIL,https://www.cheltenham.gov.uk/download/downloads/id/8296/annual_cil_rate_summary_statement_2020.pdf,https://www.cheltenham.gov.uk/info/46/planning_policy/1137/community_infrastructure_levy_cil,local-authority: CHT,01/01/2019,CIL charges within Cheltenham Borough from 1st January 2021 to 31st December 2021. Cannot find a later one!,,2020,
CHR/1,Community Infrastructure Levy (CIL) Draft Charging Schedule,CIL,https://www.cherwell.gov.uk/download/downloads/id/4147/cil-draft-charging-schedule---main-document.pdf,https://www.cherwell.gov.uk/downloads/download/1116/community-infrastructure-levy-cil,local-authority: CHR,,Draft,,,
CHE/1,Charging Schedule February 2019,CIL,https://www.cheshireeast.gov.uk/pdf/planning/spatial-planning/cil-charging-schedule-feb-19.pdf,https://www.cheshireeast.gov.uk/planning/view_a_planning_application/making_a_planning_application/community-infrastructure-levy.aspx,local-authority: CHE,21/02/2019,,,01/03/2019,
CHW/1,CIL charges,CIL,https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/community-infrastructure-levy/cil-stages/cil-charges,https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/community-infrastructure-levy,local-authority: CHW,20/07/2017,,,01/09/2017,
CHS/1,Community Infrastructure Levy - Charging Schedule,CIL,https://www.chesterfield.gov.uk/media/syvi4hb5/cil-charging-schedule.pdf,https://www.chesterfield.gov.uk/planning-and-building-control/planning-permission-and-development-management/cil-community-infrastructure-levy/,local-authority: CHS,14/10/2015,,,01/04/2016,
CHI/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.chichester.gov.uk/media/25727/CIL-Charging-Schedule/pdf/CIL_Charging_Schedule.pdf?m=1453992494980,https://www.chichester.gov.uk/article/24660/Community-Infrastructure-Levy-CIL,local-authority: CHI,26/01/2016,,,01/02/2016,
CHO/1,COMMUNITY INFRASTRUCTURE LEVY - Charging Schedule for 2024,CIL,https://chorley.gov.uk/downloads/file/359/cil-charging-schedule-2024,https://chorley.gov.uk/community-infrastructure-levy-cil,local-authority: CHO,16/07/2013,,,01/09/2013,
BRD/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.bradford.gov.uk/media/3772/final-bradford-district-cil-charging-schedule.pdf,https://www.bradford.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy/,local-authority: BRD,21/03/2017,,,01/07/2017,
LIC/1,Community Infrastructure Levy Charging Schedule ,CIL,https://www.lincoln.gov.uk/downloads/file/769/community-infrastructure-levy-charging-schedule,https://www.lincoln.gov.uk/planning/community-infrastructure-levy-cil/1,local-authority: LIC,05/12/2017,,,05/02/2018,
LND/1,City of London Annual CIL Rate Summary 2024,CIL,https://www.cityoflondon.gov.uk/assets/Services-Environment/annual-cil-rate-summary-2024.pdf,https://www.cityoflondon.gov.uk/services/planning/planning-policy/community-infrastructure-levy-cil-and-planning-obligations-s106,local-authority: LND,01/07/2014,,,01/01/2024,
WSM/1,COMMUNITY INFRASTRUCTURE LEVY CHARGING SCHEDULE,CIL,https://www.westminster.gov.uk/media/document/cil-charging-schedule,https://www.westminster.gov.uk/community-infrastructure-levy-cil/calculate-costs-cil,local-authority: WSM,20/01/2016,,,01/05/2016,
COL/1,Draft Charging Schedule,CIL,https://cbccrmdata.blob.core.windows.net/noteattachment/CIL_Draft_Charging_Schedule.pdf,,local-authority: COL,,Draft,,01/11/2011,
CON/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.cornwall.gov.uk/media/souno51d/community-infrastructure-levy-charging-schedule-final.pdf,https://www.cornwall.gov.uk/planning-and-building-control/developer-contributions/community-infrastructure-levy-cil/,local-authority: CON,10/07/2018,,,01/01/2019,
COT/1,2024 Annual CIL rate summary,CIL,https://www.cotswold.gov.uk/media/xlontohc/2024-annual-cil-rate-summary.pdf,https://www.cotswold.gov.uk/planning-and-building/community-infrastructure-levy/calculate-your-cil-charge/,local-authority: COT,03/08/2018,,,01/01/2024,
CRW/1,CIL charging schedule,CIL,https://crawley.gov.uk/planning/planning-policy/community-infrastructure-levy/cil-charging-schedule,https://crawley.gov.uk/planning/planning-policy/community-infrastructure-levy,local-authority: CRW,20/07/2016,Webpage,,17/08/2016,
DAC/1       ,CIL Charging Schedule - Adopted February 2015 (PDF 2.01MB) ,CIL,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/charging-schedule-document---adopted-feb-2015-(pdf-2-01-mb).pdf?sfvrsn=4d846d9e_0,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/developer-contributions/community-infrastructure-levy-(cil),local-authority: DAC,25/02/2015,,,01/07/2015,
DAL/1,,CIL,https://www.darlington.gov.uk/media/2243/implementation_2014_15.pdf,,local-authority: DAL,,officers recommended that Darlington Council should not pursue CIL at this time,,,
DAR/1,Annual Community Infrastructure Levy Rate Summary for 2024,CIL,https://www.dartford.gov.uk/downloads/file/2188/dartford-s-annual-community-rate-summary-2024,https://www.dartford.gov.uk/policy-1/cil-information-developers-landowners-others,local-authority: DAR,01/04/2014,,,01/04/2014,
DER/1,,CIL,https://www.derby.gov.uk/environment-and-planning/planning/policy/planning-policy-documents/#,,local-authority: DER,,We are not intending to prepare a Community Infrastructure Levy charging schedule at the present time.,,,
DBY/1,,CIL,"https://www.derbyshire.gov.uk/environment/planning/planning-policy/infrastructure-planning/funding-statement/infrastructure-funding-statement.aspx#:~:text=4.3%20Derbyshire%20County%20Council%20is,Chesterfield%20Borough%20in%202021/22.",,local-authority: DBY,,Derbyshire County Council is not a CIL charging authority,,,
DEB/1,,CIL,https://www.derbyshiredales.gov.uk/planning/planning-policy-and-local-plan/community-infrastructure-levy,,local-authority: DEB,,As such the District Council resolved to withdraw the Derbyshire Dales Community Infrastructure Levy Draft Charging Schedule with immediate effect.,,,
DEV/1,,CIL,https://www.devon.gov.uk/accesstoinformation/information_request/community-infrastructure-levy/,,local-authority: DEV,,Devon County Council is not a Community Infrastructure Levy collecting authority,,,
DNC/1,,CIL,https://www.doncaster.gov.uk/Documents/DocumentView/Stream/Media/Default/Planning/Documents/Local%20Plan/SCI/Statement%20of%20Community%20Involvement%20-%20November%202023.pdf,,local-authority: DNC,,"The Council’s current position is that CIL is not the adopted approach and Doncaster
continue to use negotiated Section 106 Agreements",,,
DST/1,East Dorset Area,CIL,https://www.dorsetcouncil.gov.uk/documents/35024/301951/East-dorset-area-cil-charging-charging+schedule.pdf/34e27666-ffec-9c22-2983-a4d819383305?version=1.0&t=1619383420799,https://www.dorsetcouncil.gov.uk/w/dorset-council-community-infrastructure-levy,local-authority: DST,01/04/2019,"On 1 April 2019, Dorset Council became the charging authority for the rural part of the county and administers the four CIL Charging Schedules, adopted by the former councils",,03/01/2017,
DST/2,Purbeck Area,CIL,https://www.dorsetcouncil.gov.uk/documents/35024/301951/Purbeck-area-cil-charging-schedule.pdf/c82b244b-1e9e-8079-9394-0505dba3029f?version=1.0&t=1619388648407,https://www.dorsetcouncil.gov.uk/w/dorset-council-community-infrastructure-levy,local-authority: DST,01/04/2019,"On 1 April 2019, Dorset Council became the charging authority for the rural part of the county and administers the four CIL Charging Schedules, adopted by the former councils",,05/06/2014,
DST/3,West Dorset Area,CIL,https://www.dorsetcouncil.gov.uk/documents/35024/301951/west-dorset-area-cil-charging-schedule.pdf/06fdfc39-6b8e-2e2c-6c73-c71d48bca98c?version=1.0&t=1619385397965,https://www.dorsetcouncil.gov.uk/w/dorset-council-community-infrastructure-levy,local-authority: DST,01/04/2019,"On 1 April 2019, Dorset Council became the charging authority for the rural part of the county and administers the four CIL Charging Schedules, adopted by the former councils",,18/07/2016,
DST/4,Weymouth & Portland Area,CIL,https://www.dorsetcouncil.gov.uk/documents/35024/301951/weymouth-and-portland-area-cil-charging-schedule.pdf/f33bfb63-cb70-3fce-70ff-ef1ee653f14b?version=1.0&t=1619385008164,https://www.dorsetcouncil.gov.uk/w/dorset-council-community-infrastructure-levy,local-authority: DST,01/04/2019,"On 1 April 2019, Dorset Council became the charging authority for the rural part of the county and administers the four CIL Charging Schedules, adopted by the former councils",,18/07/2016,
DOV/1,,CIL,https://www.dover.gov.uk/Planning/Planning-Policy/Infrastructure-Delivery-and-S106-Obligations/Home.aspx,,local-authority: DOV,,We do not operate a Community Infrastructure Levy (CIL) in Dover and there are no plans to adopt one.,,,
DUD/1,COMMUNITY INFRASTRUCTURE LEVY (CIL) CHARGING SCHEDULE,CIL,https://www.dudley.gov.uk/media/6401/dudley-cil-charging-schedule.pdf,https://www.dudley.gov.uk/residents/planning/planning-policy/dudley-local-plan/community-infrastructure-levy/,local-authority: DUD,03/07/2015,,,01/10/2015,
ECA/1,COMMUNITY INFRASTRUCTURE LEVY Charging Schedule,CIL,https://www.eastcambs.gov.uk/sites/default/files/Charging%20schedule%20Jan%202024.pdf,https://www.eastcambs.gov.uk/planning/community-infrastructure-levy,local-authority: ECA,10/12/2012,,,01/01/2024,
EDE/1,Community Infrastructure Levy Charging Schedule,CIL,https://eastdevon.gov.uk/media/3721613/cil-cs_approved.pdf,https://eastdevon.gov.uk/planning/community-infrastructure-levy-cil/what-is-the-community-infrastructure-levy-cil/,local-authority: EDE,01/09/2016,,,01/02/2021,
EHA/1,CIL Indexation 2024,CIL,https://www.easthants.gov.uk/sites/default/files/2023-12/CIL%20Indexation%202024.pdf,https://www.easthants.gov.uk/planning-services/planning-policy/community-infrastructure-levy-cil,local-authority: EHA,25/02/2016,,,08/04/2016,
ESK/1,Charging Schedule,CIL,https://www.eastsuffolk.gov.uk/assets/Planning/Developer-Contributions/CIL/East-Suffolk-CIL-Charging-Schedule-August-2023.pdf,https://www.eastsuffolk.gov.uk/planning/developer-contributions/community-infrastructure-levy/cil-rates/approved-cil-rates-for-the-east-suffolk-area/,local-authority: ESK,28/06/2023,,,01/08/2023,
ESX/1,Lewes and Eastbourne Councils CIL,CIL,https://www.lewes-eastbourne.gov.uk/media/866/Lewes-CIL-Rate-Summary-2023/pdf/LDC_CIL_Rate_Summary_2023.pdf?m=1675764161150,https://www.eastsussex.gov.uk/planning/development-contributions/new-approach,local-authority: ESX,,The County Council is not a CIL charging authority. However 4 of the 5 District Councils do.,,,
ESX/4,Rother District Council CIL,CIL,https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Adopted_CIL_Charging_Schedule.pdf,https://www.eastsussex.gov.uk/planning/development-contributions/new-approach,local-authority: ESX,14/12/2015,The County Council is not a CIL charging authority.,,04/04/2016,
ESX/6,South Downs National Park Authority CIL,CIL,https://www.southdowns.gov.uk/community-infrastructure-levy/cil-and-s106-rates/,https://www.eastsussex.gov.uk/planning/development-contributions/new-approach,local-authority: ESX,31/01/2017,The County Council is not a CIL charging authority.,,01/01/2024,31/12/2024
ESX/8,Wealden District Council CIL,CIL,https://www.wealden.gov.uk/planning-and-building-control/planning-advice/community-infrastructure-levy/paying-cil/,https://www.eastsussex.gov.uk/planning/development-contributions/new-approach,local-authority: ESX,01/04/2016,The County Council is not a CIL charging authority.,,01/04/2016,
EAS/1,CIL Rate Summary for 2023,CIL,https://www.lewes-eastbourne.gov.uk/media/862/Eastbourne-CIL-Rate-Summary-2023/pdf/EBC_CIL_Rate_Summary_2023.pdf?m=1675764193010,https://www.lewes-eastbourne.gov.uk/article/1669/Community-Infrastructure-Levy-charging-schedule-and-related-policies,local-authority: EAS,01/04/2015,,,01/01/2023,31/12/2023
ELM/1,CIL charges and payments,CIL,https://www.elmbridge.gov.uk/planning/planning-permission-and-applications/community-infrastructure-levy-developers/cil-charges,https://www.elmbridge.gov.uk/planning/planning-permission-and-applications/community-infrastructure-levy-developers/cil-charges,local-authority: ELM,01/04/2013,,,01/04/2013,
EPS/1,Charging Schedule,CIL,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-advice-and-services/EEBCCILChargingScheduleFinalVersionApril2014.pdf,https://www.epsom-ewell.gov.uk/residents/planning/planning-advice/community-infrastructure-levy-cil-guidance,local-authority: EPS,29/04/2014,,,01/07/2014,
EXE/1,Revised Charging Schedule ,CIL,https://exeter.gov.uk/media/bzuiyzbo/231108_exeter-cil-review-charging-schedule_final-approved-version-2023.pdf,https://exeter.gov.uk/planning-services/payments-from-developers/community-infrastructure-levy-cil/cil-rates-and-calculation-of-liability/,local-authority: EXE,01/12/2013,,,01/01/2024,
FAR/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.fareham.gov.uk/pdf/planning/local_plan/FarehamBoroughCouncil_CIL_Charging_Schedule_1_May_2024.pdf,https://www.fareham.gov.uk/planning/local_plan/cil.aspx,local-authority: FAR,01/04/2013,,,01/05/2024,
SHE/1,CIL Charging Schedule,CIL,https://www.folkestone-hythe.gov.uk/downloads/file/4951/cil-charging-schedule-year-8-2024,https://www.folkestone-hythe.gov.uk/planning/community-infrastructure-levy,,01/08/2016,in operation in the district since 1 st August 2016,,01/01/2024,
GAT/1,Gateshead CIL Charging Schedule,CIL,https://www.gateshead.gov.uk/media/2091/Gateshead-CIL-Charging-Schedule-Nov-2016/pdf/Gateshead-CIL-Charging-Schedule-Nov-2016.pdf?m=1530188640087,https://www.gateshead.gov.uk/article/3004/Implementation-of-the-Community-Infrastructure-Levy-CIL,local-authority: GAT,10/11/2016,,,,
GED/1,Charging Schedule,CIL,https://www.gedling.gov.uk/media/Charging%20Schedule%20(Adoption%20July%202015).pdf,https://www.gedling.gov.uk/cil/,local-authority: GED,15/07/2015,Charging Schedule was approved by Full Council on 15th July 2015 and came into effect on 16th October 2015.,,,
GLO/1,CIL Rate Summary Statement,CIL,https://www.gloucester.gov.uk/media/4tol4msm/gcc-cil-rate-summary-statement-december-2023.pdf,https://www.gloucester.gov.uk/planning-development/planning-policy/community-infrastructure-levy-cil/,local-authority: GLO,01/01/2019,,,01/01/2023,31/12/2023
GOS/1,Gosport Charging Schedule,CIL,https://www.gosport.gov.uk/media/1164/Community-Infrastructure-Levy-Charging-Schedule/pdf/Charging_Schedule_14.10.2015.pdf?m=1591193154830,https://www.gosport.gov.uk/article/1225/Community-Infrastructure-Levy-CIL,local-authority: GOS,14/10/2015,,,01/02/2016,
GLA/1,MCIL2 Charging schedule,CIL,https://www.london.gov.uk/sites/default/files/mcil2_charging_schedule_-_final.pdf,https://www.london.gov.uk/programmes-strategies/planning/implementing-london-plan/mayoral-community-infrastructure-levy#annual-cil-rate-summary-32476-title,local-authority: GLA,29/02/2012,,,01/04/2019,
HAA/1,Community Infrastructure Levy - Charging Schedule,CIL,https://www.havant.gov.uk/planning-services/planning-policy/community-infrastructure-levy-cil/community-infrastructure-levy-4,https://www.havant.gov.uk/planning-services/planning-policy/community-infrastructure-levy-cil/community-infrastructure-levy-9,local-authority: HAA,01/08/2013,,,01/08/2013,
HER/1,CHARGING SCHEDULE,CIL,https://www.hertsmere.gov.uk/Documents/09-Planning--Building-Control/Planning-Policy/Infrastructure-and-delivery/CIL-Adopted-Charging-Schedule-Sept-2014.pdf,https://www.hertsmere.gov.uk/Planning--Building-Control/Infrastructure-and-Delivery/Community-Infrastructure-Levy-CIL.aspx,local-authority: HER,17/09/2014,,,01/12/2014,
HOR/1,Charging Schedule,CIL,https://www.horsham.gov.uk/__data/assets/pdf_file/0003/62868/Horsham-CIL-Charging-Schedule_April-2017.pdf,https://www.horsham.gov.uk/planning/planning-policy/community-infrastructure-levy/what-is-cil,local-authority: HOR,01/03/2017,,,01/10/2017,
HUN/1,Charging Schedule 2012,CIL,https://www.huntingdonshire.gov.uk/media/1048/cil-charging-schedule.pdf,https://www.huntingdonshire.gov.uk/planning/community-infrastructure-levy-cil/,local-authority: HUN,25/04/2012,,,01/05/2012,
KIR/1,Draft Charging Schedule,CIL,https://www.kirklees.gov.uk/beta/planning-policy/pdf/submission-documents/CIL_001_Kirklees_CIL_Draft_Charging_Schedule.pdf,https://www.kirklees.gov.uk/beta/planning-policy/community-infrastructure-levy-submission-documents-2017.aspx,local-authority: KIR,,Draft,,,
LDS/1,Community Infrastructure Levy Calculator,CIL,https://www.leeds.gov.uk/docs/CIL%20Calculator.xls,https://www.leeds.gov.uk/planning/community-infrastructure-levy/calculate-how-much-you-need-to-pay-for-the-cil,local-authority: LDS,12/11/2014,Link is to a spreadsheet,,06/04/2015,
LEE/1,CIL Rate Summary for 2023,CIL,https://www.lewes-eastbourne.gov.uk/media/866/Lewes-CIL-Rate-Summary-2023/pdf/LDC_CIL_Rate_Summary_2023.pdf?m=1675764161150,https://www.lewes-eastbourne.gov.uk/article/1669/Community-Infrastructure-Levy-charging-schedule-and-related-policies,local-authority: LEE,01/12/2015,Adopted date is a best guess,,,
LIF/1,CIL Charging Schedule,CIL,https://www.lichfielddc.gov.uk/downloads/file/293/community-infrastructure-levy-charging-schedule,https://www.lichfielddc.gov.uk/planning-developers-business/community-infrastructure-levy,local-authority: LIF,19/04/2016,,,13/06/2016,
BDG/1,Annual CIL Rate Summary 2024 ,CIL,https://www.lbbd.gov.uk/sites/default/files/2024-05/Annual%20CIL%20Rate%20Summary%202024.pdf,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/developer/boroughs,local-authority: BDG,25/02/2014,,,03/04/2015,
BNE/1,new Charging Schedule ,CIL,https://www.barnet.gov.uk/media/13442,https://www.barnet.gov.uk/planning-and-building-control/planning-applications-and-permissions/community-infrastructure-levy,local-authority: BNE,01/05/2013,,,01/04/2022,
BEX/1,Charging Schedule ,CIL,https://www.bexley.gov.uk/sites/default/files/2020-09/Bexley-CIL-charging-schedule.pdf,https://www.bexley.gov.uk/services/planning-and-building-control/community-infrastructure-levy-cil/what-community-infrastructure-levy,local-authority: BEX,02/03/2015,,,30/04/2015,
276,Annual CIL Rate Summary for 2024,CIL,https://www.shropshire.gov.uk/media/26916/annual-cil-rate-summary-2024.pdf,https://www.shropshire.gov.uk/planning-policy/community-infrastructure-levy-cil/,local-authority: SHR,01/01/2012,,,,
278,Community Infrastructure Levy (CIL) Charging Schedule,CIL,https://www.solihull.gov.uk/sites/default/files/2023-09/CIL-Charging-Schedule.pdf,https://www.solihull.gov.uk/Planning-and-building-control/Charging-schedule-and-rates,local-authority: SOL,04/07/2016,,,,
,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:b:/s/SCCPublic/ETVD1nKojdNJkpbX5IvEKmIBMgV2WST6V9BYn4nUaz4JMw?e=S3lgWZ,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=Sedgemoor,local-authority: SUA,01/04/2023,From Sedgemoor area,,,
,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:b:/s/SCCPublic/ETVD1nKojdNJkpbX5IvEKmIBMgV2WST6V9BYn4nUaz4JMw?e=S3lgWZ,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=Sedgemoor,local-authority: SMT,01/04/2023,From Sedgemoor area,,,
,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:b:/s/SCCPublic/EXbvd1vo5XlCjKjMeinv--wB1FQKIEta43y3RGPalTLwbQ?e=vQhfJM,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=Somerset+West+and+Taunton,local-authority: SUA,01/04/2023,From Somerset West and Taunton area,,,
